image_idx,diagram_type,type_confidence,visual_complexity,color_entropy,text_density,spatial_layout,enrichment,specific_num_nodes,specific_num_edges,specific_graph_density,specific_avg_node_degree,specific_is_connected,color_num_dominant_colors,color_largest_segment_ratio,color_color_balance,color_compactness,color_segment_2_ratio,hog_vector_size,lbp_entropy,orb_count,orb_spread,original_caption,enriched_caption,specific_num_segments,specific_has_labels,specific_is_donut,specific_color_coded,specific_num_shapes,specific_num_lines,specific_has_structure,specific_dominant_feature
0,network_graph,0.8,0.24018083339297336,0.3989854,0.09,networked,"Network graph with 70 nodes and 93 edges, density 0.04",70.0,93.0,0.03850931677018633,2.657142857142857,True,3,0.7764663121245744,0.7110457973932567,69577087.71938255,0.07988914182959024,8100,2.3261846391315313,500,0.24485848955446612,"Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center.","Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center. [Visual Analysis: Network graph with 70 nodes and 93 edges, density 0.04]",,,,,,,,
1,network_graph,0.8,0.26070570046889585,0.3793488,0.12686567164179105,networked,"Network graph with 113 nodes and 77 edges, density 0.01",113.0,77.0,0.012168141592920354,1.3628318584070795,False,2,0.795416036169494,0.7013199856968872,934976430.0334632,0.0959298464509159,8100,2.80235253709118,500,0.3324304045560682,"Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits.","Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits. [Visual Analysis: Network graph with 113 nodes and 77 edges, density 0.01]",,,,,,,,
2,network_graph,0.8,0.7366439962633602,0.70449007,0.16015625,networked,"Network graph with 196 nodes and 513 edges, density 0.03",196.0,513.0,0.02684458398744113,5.23469387755102,True,4,0.289229375,0.913715751078014,758722008.0778499,0.25418625,8100,4.0776357702484525,500,0.2977127264212406,"Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities.","Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities. [Visual Analysis: Network graph with 196 nodes and 513 edges, density 0.03]",,,,,,,,
3,network_graph,0.8,0.25134100464470494,0.5035657,0.390625,networked,"Network graph with 77 nodes and 197 edges, density 0.07",77.0,197.0,0.0673274094326726,5.116883116883117,True,2,0.8323853288127995,0.6836944236269191,48386253.59382075,0.05347119093651639,8100,2.715869461935333,500,0.35082869497962904,"Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step.","Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step. [Visual Analysis: Network graph with 77 nodes and 197 edges, density 0.07]",,,,,,,,
4,network_graph,0.8,0.23006264874815205,0.3392806,0.43429844097995546,networked,"Network graph with 89 nodes and 199 edges, density 0.05",89.0,199.0,0.050817160367722165,4.47191011235955,True,1,0.8785604840677305,0.6606670847368377,120545125.564269,0.04116917971990436,8100,2.484838611954857,500,0.31464704020892825,"Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'.","Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'. [Visual Analysis: Network graph with 89 nodes and 199 edges, density 0.05]",,,,,,,,
5,pie_chart,0.9,0.15742024049363254,0.49278384,0.004711033082444649,radial,"Pie chart with 18 segments, unlabeled",,,,,,3,0.5523603098205463,0.7964318574380432,27823443.742876,0.30601047609940607,8100,2.782507986948658,500,0.28865921385785254,"TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center.","TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center. [Visual Analysis: Pie chart with 18 segments, unlabeled]",18.0,False,True,True,,,,
6,network_graph,0.8,0.20879599927686293,0.4836961,0.1283482142857143,networked,"Network graph with 51 nodes and 115 edges, density 0.09",51.0,115.0,0.09019607843137255,4.509803921568627,True,3,0.7571428571428571,0.7196001315990064,9377662.124133958,0.1167063492063492,8100,3.1059104207558783,500,0.26295282629978667,"ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process.","ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process. [Visual Analysis: Network graph with 51 nodes and 115 edges, density 0.09]",,,,,,,,
7,network_graph,0.8,0.279617857226207,0.57797486,0.0,networked,"Network graph with 174 nodes and 257 edges, density 0.02",174.0,257.0,0.01707527739020663,2.954022988505747,True,3,0.6240268005401459,0.7758765253260681,53043346.02423078,0.21973793878777306,8100,3.162170826350776,500,0.28682129769316905,"Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'.","Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'. [Visual Analysis: Network graph with 174 nodes and 257 edges, density 0.02]",,,,,,,,
8,network_graph,0.8,0.24475490433479713,0.33355087,0.09057971014492754,networked,"Network graph with 121 nodes and 135 edges, density 0.02",121.0,135.0,0.01859504132231405,2.231404958677686,True,4,0.6250758247398628,0.7817980569164436,31203212.75503111,0.18518840592005634,8100,2.0046282200115315,500,0.25958330803533886,"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top. [Visual Analysis: Network graph with 121 nodes and 135 edges, density 0.02]",,,,,,,,
9,network_graph,0.8,0.3145684343818239,0.47657254,0.06640625,networked,"Network graph with 62 nodes and 63 edges, density 0.03",62.0,63.0,0.033315705975674244,2.032258064516129,True,3,0.35773709160794365,0.8401372000670715,100428695.56791672,0.3492599615631006,8100,3.2476618288680212,500,0.31241476457958045,"Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons.","Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons. [Visual Analysis: Network graph with 62 nodes and 63 edges, density 0.03]",,,,,,,,
